40,50,60,70,80,90,100,110,120,130
1.049,1.230,1.433,1.621,1.828,1.961,2.128,2.270,2.403,2.533
1.013,1.227,1.430,1.625,1.814,1.965,2.125,2.265,2.413,2.531
1.012,1.225,1.435,1.625,1.821,1.967,2.125,2.266,2.403,2.535
1.013,1.230,1.434,1.624,1.811,1.963,2.125,2.270,2.407,2.537
1.010,1.226,1.435,1.621,1.821,1.968,2.124,2.264,2.409,2.537
